student_key,student_slu_id,first_name,last_name,gender,date_of_birth,email,phone,country_of_origin,visa_status,work_authorization_flag,program_code,program_name,admission_year,admission_term,graduation_term,graduation_year,gpa,linkedin_url,current_city
19,SLU00019,First19,Last19,Male,1986-04-05,student19@slu.edu,+1-314-555-0019,Mexico,GreenCard,1,ML,MS Machine Learning,2021,Spring,Spring,2021,2.69,https://linkedin.com/in/student19,Phoenix
20,SLU00020,First20,Last20,Male,1986-04-04,student20@slu.edu,+1-314-555-0020,India,Citizen,0,CYS,MS Cyber Security,2022,Summer,Summer,2022,2.70,https://linkedin.com/in/student20,St. Louis
21,SLU00021,First21,Last21,Male,1986-04-03,student21@slu.edu,+1-314-555-0021,USA,F1,1,BA,MS Business Analytics,2023,Fall,Fall,2023,2.71,https://linkedin.com/in/student21,Chicago
22,SLU00022,First22,Last22,Male,1986-04-02,student22@slu.edu,+1-314-555-0022,China,GreenCard,0,DA,MS Data Analytics,2024,Spring,Spring,2024,2.72,https://linkedin.com/in/student22,Dallas
23,SLU00023,First23,Last23,Male,1986-04-01,student23@slu.edu,+1-314-555-0023,Nigeria,Citizen,1,ST,MS Statistics,2025,Summer,Summer,2025,2.73,https://linkedin.com/in/student23,New York
24,SLU00024,First24,Last24,Male,1986-03-31,student24@slu.edu,+1-314-555-0024,Brazil,F1,0,CS,MS Computer Science,2020,Fall,Fall,2020,2.74,https://linkedin.com/in/student24,Seattle
25,SLU00025,First25,Last25,Male,1986-03-30,student25@slu.edu,+1-314-555-0025,Vietnam,GreenCard,1,IS,MS Information Systems,2021,Spring,Spring,2021,2.75,https://linkedin.com/in/student25,Austin
26,SLU00026,First26,Last26,Male,1986-03-29,student26@slu.edu,+1-314-555-0026,Iran,Citizen,0,AI,MS Artificial Intelligence,2022,Summer,Summer,2022,2.76,https://linkedin.com/in/student26,Atlanta
27,SLU00027,First27,Last27,Male,1986-03-28,student27@slu.edu,+1-314-555-0027,Turkey,F1,1,ML,MS Machine Learning,2023,Fall,Fall,2023,2.77,https://linkedin.com/in/student27,San Jose
28,SLU00028,First28,Last28,Male,1986-03-27,student28@slu.edu,+1-314-555-0028,Kenya,GreenCard,0,CYS,MS Cyber Security,2024,Spring,Spring,2024,2.78,https://linkedin.com/in/student28,Boston
29,SLU00029,First29,Last29,Male,1986-03-26,student29@slu.edu,+1-314-555-0029,Mexico,Citizen,1,BA,MS Business Analytics,2025,Summer,Summer,2025,2.79,https://linkedin.com/in/student29,Phoenix
30,SLU00030,First30,Last30,Male,1986-03-25,student30@slu.edu,+1-314-555-0030,India,F1,0,DA,MS Data Analytics,2020,Fall,Fall,2020,2.80,https://linkedin.com/in/student30,St. Louis
31,SLU00031,First31,Last31,Male,1986-03-24,student31@slu.edu,+1-314-555-0031,USA,GreenCard,1,ST,MS Statistics,2021,Spring,Spring,2021,2.81,https://linkedin.com/in/student31,Chicago
32,SLU00032,First32,Last32,Male,1986-03-23,student32@slu.edu,+1-314-555-0032,China,Citizen,0,CS,MS Computer Science,2022,Summer,Summer,2022,2.82,https://linkedin.com/in/student32,Dallas
33,SLU00033,First33,Last33,Male,1986-03-22,student33@slu.edu,+1-314-555-0033,Nigeria,F1,1,IS,MS Information Systems,2023,Fall,Fall,2023,2.83,https://linkedin.com/in/student33,New York
34,SLU00034,First34,Last34,Male,1986-03-21,student34@slu.edu,+1-314-555-0034,Brazil,GreenCard,0,AI,MS Artificial Intelligence,2024,Spring,Spring,2024,2.84,https://linkedin.com/in/student34,Seattle
35,SLU00035,First35,Last35,Male,1986-03-20,student35@slu.edu,+1-314-555-0035,Vietnam,Citizen,1,ML,MS Machine Learning,2025,Summer,Summer,2025,2.85,https://linkedin.com/in/student35,Austin
36,SLU00036,First36,Last36,Male,1986-03-19,student36@slu.edu,+1-314-555-0036,Iran,F1,0,CYS,MS Cyber Security,2020,Fall,Fall,2020,2.86,https://linkedin.com/in/student36,Atlanta
37,SLU00037,First37,Last37,Male,1986-03-18,student37@slu.edu,+1-314-555-0037,Turkey,GreenCard,1,BA,MS Business Analytics,2021,Spring,Spring,2021,2.87,https://linkedin.com/in/student37,San Jose
38,SLU00038,First38,Last38,Male,1986-03-17,student38@slu.edu,+1-314-555-0038,Kenya,Citizen,0,DA,MS Data Analytics,2022,Summer,Summer,2022,2.88,https://linkedin.com/in/student38,Boston
39,SLU00039,First39,Last39,Male,1986-03-16,student39@slu.edu,+1-314-555-0039,Mexico,F1,1,ST,MS Statistics,2023,Fall,Fall,2023,2.89,https://linkedin.com/in/student39,Phoenix
40,SLU00040,First40,Last40,Male,1986-03-15,student40@slu.edu,+1-314-555-0040,India,GreenCard,0,CS,MS Computer Science,2024,Spring,Spring,2024,2.90,https://linkedin.com/in/student40,St. Louis
41,SLU00041,First41,Last41,Male,1986-03-14,student41@slu.edu,+1-314-555-0041,USA,Citizen,1,IS,MS Information Systems,2025,Summer,Summer,2025,2.91,https://linkedin.com/in/student41,Chicago
42,SLU00042,First42,Last42,Male,1986-03-13,student42@slu.edu,+1-314-555-0042,China,F1,0,AI,MS Artificial Intelligence,2020,Fall,Fall,2020,2.92,https://linkedin.com/in/student42,Dallas
43,SLU00043,First43,Last43,Male,1986-03-12,student43@slu.edu,+1-314-555-0043,Nigeria,GreenCard,1,ML,MS Machine Learning,2021,Spring,Spring,2021,2.93,https://linkedin.com/in/student43,New York
44,SLU00044,First44,Last44,Male,1986-03-11,student44@slu.edu,+1-314-555-0044,Brazil,Citizen,0,CYS,MS Cyber Security,2022,Summer,Summer,2022,2.94,https://linkedin.com/in/student44,Seattle
45,SLU00045,First45,Last45,Male,1986-03-10,student45@slu.edu,+1-314-555-0045,Vietnam,F1,1,BA,MS Business Analytics,2023,Fall,Fall,2023,2.95,https://linkedin.com/in/student45,Austin
46,SLU00046,First46,Last46,Male,1986-03-09,student46@slu.edu,+1-314-555-0046,Iran,GreenCard,0,DA,MS Data Analytics,2024,Spring,Spring,2024,2.96,https://linkedin.com/in/student46,Atlanta
47,SLU00047,First47,Last47,Male,1986-03-08,student47@slu.edu,+1-314-555-0047,Turkey,Citizen,1,ST,MS Statistics,2025,Summer,Summer,2025,2.97,https://linkedin.com/in/student47,San Jose
48,SLU00048,First48,Last48,Male,1986-03-07,student48@slu.edu,+1-314-555-0048,Kenya,F1,0,CS,MS Computer Science,2020,Fall,Fall,2020,2.98,https://linkedin.com/in/student48,Boston
49,SLU00049,First49,Last49,Male,1986-03-06,student49@slu.edu,+1-314-555-0049,Mexico,GreenCard,1,IS,MS Information Systems,2021,Spring,Spring,2021,2.99,https://linkedin.com/in/student49,Phoenix
50,SLU00050,First50,Last50,Male,1986-03-05,student50@slu.edu,+1-314-555-0050,India,Citizen,0,AI,MS Artificial Intelligence,2022,Summer,Summer,2022,3.00,https://linkedin.com/in/student50,St. Louis
51,SLU00051,First51,Last51,Male,1986-03-04,student51@slu.edu,+1-314-555-0051,USA,F1,1,ML,MS Machine Learning,2023,Fall,Fall,2023,3.01,https://linkedin.com/in/student51,Chicago
52,SLU00052,First52,Last52,Male,1986-03-03,student52@slu.edu,+1-314-555-0052,China,GreenCard,0,CYS,MS Cyber Security,2024,Spring,Spring,2024,3.02,https://linkedin.com/in/student52,Dallas
53,SLU00053,First53,Last53,Male,1986-03-02,student53@slu.edu,+1-314-555-0053,Nigeria,Citizen,1,BA,MS Business Analytics,2025,Summer,Summer,2025,3.03,https://linkedin.com/in/student53,New York
54,SLU00054,First54,Last54,Male,1986-03-01,student54@slu.edu,+1-314-555-0054,Brazil,F1,0,DA,MS Data Analytics,2020,Fall,Fall,2020,3.04,https://linkedin.com/in/student54,Seattle
55,SLU00055,First55,Last55,Male,1986-02-28,student55@slu.edu,+1-314-555-0055,Vietnam,GreenCard,1,ST,MS Statistics,2021,Spring,Spring,2021,3.05,https://linkedin.com/in/student55,Austin
56,SLU00056,First56,Last56,Male,1986-02-27,student56@slu.edu,+1-314-555-0056,Iran,Citizen,0,CS,MS Computer Science,2022,Summer,Summer,2022,3.06,https://linkedin.com/in/student56,Atlanta
57,SLU00057,First57,Last57,Male,1986-02-26,student57@slu.edu,+1-314-555-0057,Turkey,F1,1,IS,MS Information Systems,2023,Fall,Fall,2023,3.07,https://linkedin.com/in/student57,San Jose
58,SLU00058,First58,Last58,Male,1986-02-25,student58@slu.edu,+1-314-555-0058,Kenya,GreenCard,0,AI,MS Artificial Intelligence,2024,Spring,Spring,2024,3.08,https://linkedin.com/in/student58,Boston
59,SLU00059,First59,Last59,Male,1986-02-24,student59@slu.edu,+1-314-555-0059,Mexico,Citizen,1,ML,MS Machine Learning,2025,Summer,Summer,2025,3.09,https://linkedin.com/in/student59,Phoenix
60,SLU00060,First60,Last60,Male,1986-02-23,student60@slu.edu,+1-314-555-0060,India,F1,0,CYS,MS Cyber Security,2020,Fall,Fall,2020,3.10,https://linkedin.com/in/student60,St. Louis
61,SLU00061,First61,Last61,Male,1986-02-22,student61@slu.edu,+1-314-555-0061,USA,GreenCard,1,BA,MS Business Analytics,2021,Spring,Spring,2021,3.11,https://linkedin.com/in/student61,Chicago
62,SLU00062,First62,Last62,Male,1986-02-21,student62@slu.edu,+1-314-555-0062,China,Citizen,0,DA,MS Data Analytics,2022,Summer,Summer,2022,3.12,https://linkedin.com/in/student62,Dallas
63,SLU00063,First63,Last63,Male,1986-02-20,student63@slu.edu,+1-314-555-0063,Nigeria,F1,1,ST,MS Statistics,2023,Fall,Fall,2023,3.13,https://linkedin.com/in/student63,New York
64,SLU00064,First64,Last64,Male,1986-02-19,student64@slu.edu,+1-314-555-0064,Brazil,GreenCard,0,CS,MS Computer Science,2024,Spring,Spring,2024,3.14,https://linkedin.com/in/student64,Seattle
65,SLU00065,First65,Last65,Male,1986-02-18,student65@slu.edu,+1-314-555-0065,Vietnam,Citizen,1,IS,MS Information Systems,2025,Summer,Summer,2025,3.15,https://linkedin.com/in/student65,Austin
66,SLU00066,First66,Last66,Male,1986-02-17,student66@slu.edu,+1-314-555-0066,Iran,F1,0,AI,MS Artificial Intelligence,2020,Fall,Fall,2020,3.16,https://linkedin.com/in/student66,Atlanta
67,SLU00067,First67,Last67,Male,1986-02-16,student67@slu.edu,+1-314-555-0067,Turkey,GreenCard,1,ML,MS Machine Learning,2021,Spring,Spring,2021,3.17,https://linkedin.com/in/student67,San Jose
68,SLU00068,First68,Last68,Male,1986-02-15,student68@slu.edu,+1-314-555-0068,Kenya,Citizen,0,CYS,MS Cyber Security,2022,Summer,Summer,2022,3.18,https://linkedin.com/in/student68,Boston
69,SLU00069,First69,Last69,Male,1986-02-14,student69@slu.edu,+1-314-555-0069,Mexico,F1,1,BA,MS Business Analytics,2023,Fall,Fall,2023,3.19,https://linkedin.com/in/student69,Phoenix
70,SLU00070,First70,Last70,Male,1986-02-13,student70@slu.edu,+1-314-555-0070,India,GreenCard,0,DA,MS Data Analytics,2024,Spring,Spring,2024,3.20,https://linkedin.com/in/student70,St. Louis
71,SLU00071,First71,Last71,Male,1986-02-12,student71@slu.edu,+1-314-555-0071,USA,Citizen,1,ST,MS Statistics,2025,Summer,Summer,2025,3.21,https://linkedin.com/in/student71,Chicago
72,SLU00072,First72,Last72,Male,1986-02-11,student72@slu.edu,+1-314-555-0072,China,F1,0,CS,MS Computer Science,2020,Fall,Fall,2020,3.22,https://linkedin.com/in/student72,Dallas
73,SLU00073,First73,Last73,Male,1986-02-10,student73@slu.edu,+1-314-555-0073,Nigeria,GreenCard,1,IS,MS Information Systems,2021,Spring,Spring,2021,3.23,https://linkedin.com/in/student73,New York
74,SLU00074,First74,Last74,Male,1986-02-09,student74@slu.edu,+1-314-555-0074,Brazil,Citizen,0,AI,MS Artificial Intelligence,2022,Summer,Summer,2022,3.24,https://linkedin.com/in/student74,Seattle
75,SLU00075,First75,Last75,Male,1986-02-08,student75@slu.edu,+1-314-555-0075,Vietnam,F1,1,ML,MS Machine Learning,2023,Fall,Fall,2023,3.25,https://linkedin.com/in/student75,Austin
76,SLU00076,First76,Last76,Male,1986-02-07,student76@slu.edu,+1-314-555-0076,Iran,GreenCard,0,CYS,MS Cyber Security,2024,Spring,Spring,2024,3.26,https://linkedin.com/in/student76,Atlanta
77,SLU00077,First77,Last77,Male,1986-02-06,student77@slu.edu,+1-314-555-0077,Turkey,Citizen,1,BA,MS Business Analytics,2025,Summer,Summer,2025,3.27,https://linkedin.com/in/student77,San Jose
78,SLU00078,First78,Last78,Male,1986-02-05,student78@slu.edu,+1-314-555-0078,Kenya,F1,0,DA,MS Data Analytics,2020,Fall,Fall,2020,3.28,https://linkedin.com/in/student78,Boston
79,SLU00079,First79,Last79,Male,1986-02-04,student79@slu.edu,+1-314-555-0079,Mexico,GreenCard,1,ST,MS Statistics,2021,Spring,Spring,2021,3.29,https://linkedin.com/in/student79,Phoenix
80,SLU00080,First80,Last80,Male,1986-02-03,student80@slu.edu,+1-314-555-0080,India,Citizen,0,CS,MS Computer Science,2022,Summer,Summer,2022,3.30,https://linkedin.com/in/student80,St. Louis
81,SLU00081,First81,Last81,Male,1986-02-02,student81@slu.edu,+1-314-555-0081,USA,F1,1,IS,MS Information Systems,2023,Fall,Fall,2023,3.31,https://linkedin.com/in/student81,Chicago
82,SLU00082,First82,Last82,Male,1986-02-01,student82@slu.edu,+1-314-555-0082,China,GreenCard,0,AI,MS Artificial Intelligence,2024,Spring,Spring,2024,3.32,https://linkedin.com/in/student82,Dallas
83,SLU00083,First83,Last83,Male,1986-01-31,student83@slu.edu,+1-314-555-0083,Nigeria,Citizen,1,ML,MS Machine Learning,2025,Summer,Summer,2025,3.33,https://linkedin.com/in/student83,New York
84,SLU00084,First84,Last84,Male,1986-01-30,student84@slu.edu,+1-314-555-0084,Brazil,F1,0,CYS,MS Cyber Security,2020,Fall,Fall,2020,3.34,https://linkedin.com/in/student84,Seattle
85,SLU00085,First85,Last85,Male,1986-01-29,student85@slu.edu,+1-314-555-0085,Vietnam,GreenCard,1,BA,MS Business Analytics,2021,Spring,Spring,2021,3.35,https://linkedin.com/in/student85,Austin
86,SLU00086,First86,Last86,Male,1986-01-28,student86@slu.edu,+1-314-555-0086,Iran,Citizen,0,DA,MS Data Analytics,2022,Summer,Summer,2022,3.36,https://linkedin.com/in/student86,Atlanta
87,SLU00087,First87,Last87,Male,1986-01-27,student87@slu.edu,+1-314-555-0087,Turkey,F1,1,ST,MS Statistics,2023,Fall,Fall,2023,3.37,https://linkedin.com/in/student87,San Jose
88,SLU00088,First88,Last88,Male,1986-01-26,student88@slu.edu,+1-314-555-0088,Kenya,GreenCard,0,CS,MS Computer Science,2024,Spring,Spring,2024,3.38,https://linkedin.com/in/student88,Boston
89,SLU00089,First89,Last89,Male,1986-01-25,student89@slu.edu,+1-314-555-0089,Mexico,Citizen,1,IS,MS Information Systems,2025,Summer,Summer,2025,3.39,https://linkedin.com/in/student89,Phoenix
90,SLU00090,First90,Last90,Male,1986-01-24,student90@slu.edu,+1-314-555-0090,India,F1,0,AI,MS Artificial Intelligence,2020,Fall,Fall,2020,3.40,https://linkedin.com/in/student90,St. Louis
91,SLU00091,First91,Last91,Male,1986-01-23,student91@slu.edu,+1-314-555-0091,USA,GreenCard,1,ML,MS Machine Learning,2021,Spring,Spring,2021,3.41,https://linkedin.com/in/student91,Chicago
92,SLU00092,First92,Last92,Male,1986-01-22,student92@slu.edu,+1-314-555-0092,China,Citizen,0,CYS,MS Cyber Security,2022,Summer,Summer,2022,3.42,https://linkedin.com/in/student92,Dallas
93,SLU00093,First93,Last93,Male,1986-01-21,student93@slu.edu,+1-314-555-0093,Nigeria,F1,1,BA,MS Business Analytics,2023,Fall,Fall,2023,3.43,https://linkedin.com/in/student93,New York
94,SLU00094,First94,Last94,Male,1986-01-20,student94@slu.edu,+1-314-555-0094,Brazil,GreenCard,0,DA,MS Data Analytics,2024,Spring,Spring,2024,3.44,https://linkedin.com/in/student94,Seattle
95,SLU00095,First95,Last95,Male,1986-01-19,student95@slu.edu,+1-314-555-0095,Vietnam,Citizen,1,ST,MS Statistics,2025,Summer,Summer,2025,3.45,https://linkedin.com/in/student95,Austin
96,SLU00096,First96,Last96,Male,1986-01-18,student96@slu.edu,+1-314-555-0096,Iran,F1,0,CS,MS Computer Science,2020,Fall,Fall,2020,3.46,https://linkedin.com/in/student96,Atlanta
97,SLU00097,First97,Last97,Male,1986-01-17,student97@slu.edu,+1-314-555-0097,Turkey,GreenCard,1,IS,MS Information Systems,2021,Spring,Spring,2021,3.47,https://linkedin.com/in/student97,San Jose
98,SLU00098,First98,Last98,Male,1986-01-16,student98@slu.edu,+1-314-555-0098,Kenya,Citizen,0,AI,MS Artificial Intelligence,2022,Summer,Summer,2022,3.48,https://linkedin.com/in/student98,Boston
99,SLU00099,First99,Last99,Male,1986-01-15,student99@slu.edu,+1-314-555-0099,Mexico,F1,1,ML,MS Machine Learning,2023,Fall,Fall,2023,3.49,https://linkedin.com/in/student99,Phoenix
100,SLU00100,First100,Last100,Male,1986-01-14,student100@slu.edu,+1-314-555-0100,India,GreenCard,0,CYS,MS Cyber Security,2024,Spring,Spring,2024,3.50,https://linkedin.com/in/student100,St. Louis
101,SLU00101,First101,Last101,Male,1986-01-13,student101@slu.edu,+1-314-555-0101,USA,Citizen,1,BA,MS Business Analytics,2025,Summer,Summer,2025,3.51,https://linkedin.com/in/student101,Chicago
102,SLU00102,First102,Last102,Male,1986-01-12,student102@slu.edu,+1-314-555-0102,China,F1,0,DA,MS Data Analytics,2020,Fall,Fall,2020,3.52,https://linkedin.com/in/student102,Dallas
103,SLU00103,First103,Last103,Male,1986-01-11,student103@slu.edu,+1-314-555-0103,Nigeria,GreenCard,1,ST,MS Statistics,2021,Spring,Spring,2021,3.53,https://linkedin.com/in/student103,New York
104,SLU00104,First104,Last104,Male,1986-01-10,student104@slu.edu,+1-314-555-0104,Brazil,Citizen,0,CS,MS Computer Science,2022,Summer,Summer,2022,3.54,https://linkedin.com/in/student104,Seattle
105,SLU00105,First105,Last105,Male,1986-01-09,student105@slu.edu,+1-314-555-0105,Vietnam,F1,1,IS,MS Information Systems,2023,Fall,Fall,2023,3.55,https://linkedin.com/in/student105,Austin
106,SLU00106,First106,Last106,Male,1986-01-08,student106@slu.edu,+1-314-555-0106,Iran,GreenCard,0,AI,MS Artificial Intelligence,2024,Spring,Spring,2024,3.56,https://linkedin.com/in/student106,Atlanta
107,SLU00107,First107,Last107,Male,1986-01-07,student107@slu.edu,+1-314-555-0107,Turkey,Citizen,1,ML,MS Machine Learning,2025,Summer,Summer,2025,3.57,https://linkedin.com/in/student107,San Jose
108,SLU00108,First108,Last108,Male,1986-01-06,student108@slu.edu,+1-314-555-0108,Kenya,F1,0,CYS,MS Cyber Security,2020,Fall,Fall,2020,3.58,https://linkedin.com/in/student108,Boston
109,SLU00109,First109,Last109,Male,1986-01-05,student109@slu.edu,+1-314-555-0109,Mexico,GreenCard,1,BA,MS Business Analytics,2021,Spring,Spring,2021,3.59,https://linkedin.com/in/student109,Phoenix
110,SLU00110,First110,Last110,Male,1986-01-04,student110@slu.edu,+1-314-555-0110,India,Citizen,0,DA,MS Data Analytics,2022,Summer,Summer,2022,3.60,https://linkedin.com/in/student110,St. Louis
111,SLU00111,First111,Last111,Male,1986-01-03,student111@slu.edu,+1-314-555-0111,USA,F1,1,ST,MS Statistics,2023,Fall,Fall,2023,3.61,https://linkedin.com/in/student111,Chicago
112,SLU00112,First112,Last112,Male,1986-01-02,student112@slu.edu,+1-314-555-0112,China,GreenCard,0,CS,MS Computer Science,2024,Spring,Spring,2024,3.62,https://linkedin.com/in/student112,Dallas
113,SLU00113,First113,Last113,Male,1986-01-01,student113@slu.edu,+1-314-555-0113,Nigeria,Citizen,1,IS,MS Information Systems,2025,Summer,Summer,2025,3.63,https://linkedin.com/in/student113,New York
114,SLU00114,First114,Last114,Male,1985-12-31,student114@slu.edu,+1-314-555-0114,Brazil,F1,0,AI,MS Artificial Intelligence,2020,Fall,Fall,2020,3.64,https://linkedin.com/in/student114,Seattle
115,SLU00115,First115,Last115,Male,1985-12-30,student115@slu.edu,+1-314-555-0115,Vietnam,GreenCard,1,ML,MS Machine Learning,2021,Spring,Spring,2021,3.65,https://linkedin.com/in/student115,Austin
116,SLU00116,First116,Last116,Male,1985-12-29,student116@slu.edu,+1-314-555-0116,Iran,Citizen,0,CYS,MS Cyber Security,2022,Summer,Summer,2022,3.66,https://linkedin.com/in/student116,Atlanta
117,SLU00117,First117,Last117,Male,1985-12-28,student117@slu.edu,+1-314-555-0117,Turkey,F1,1,BA,MS Business Analytics,2023,Fall,Fall,2023,3.67,https://linkedin.com/in/student117,San Jose
118,SLU00118,First118,Last118,Male,1985-12-27,student118@slu.edu,+1-314-555-0118,Kenya,GreenCard,0,DA,MS Data Analytics,2024,Spring,Spring,2024,3.68,https://linkedin.com/in/student118,Boston
119,SLU00119,First119,Last119,Male,1985-12-26,student119@slu.edu,+1-314-555-0119,Mexico,Citizen,1,ST,MS Statistics,2025,Summer,Summer,2025,3.69,https://linkedin.com/in/student119,Phoenix
120,SLU00120,First120,Last120,Male,1985-12-25,student120@slu.edu,+1-314-555-0120,India,F1,0,CS,MS Computer Science,2020,Fall,Fall,2020,3.70,https://linkedin.com/in/student120,St. Louis
121,SLU00121,First121,Last121,Male,1985-12-24,student121@slu.edu,+1-314-555-0121,USA,GreenCard,1,IS,MS Information Systems,2021,Spring,Spring,2021,3.71,https://linkedin.com/in/student121,Chicago
122,SLU00122,First122,Last122,Male,1985-12-23,student122@slu.edu,+1-314-555-0122,China,Citizen,0,AI,MS Artificial Intelligence,2022,Summer,Summer,2022,3.72,https://linkedin.com/in/student122,Dallas
123,SLU00123,First123,Last123,Male,1985-12-22,student123@slu.edu,+1-314-555-0123,Nigeria,F1,1,ML,MS Machine Learning,2023,Fall,Fall,2023,3.73,https://linkedin.com/in/student123,New York
124,SLU00124,First124,Last124,Male,1985-12-21,student124@slu.edu,+1-314-555-0124,Brazil,GreenCard,0,CYS,MS Cyber Security,2024,Spring,Spring,2024,3.74,https://linkedin.com/in/student124,Seattle
125,SLU00125,First125,Last125,Male,1985-12-20,student125@slu.edu,+1-314-555-0125,Vietnam,Citizen,1,BA,MS Business Analytics,2025,Summer,Summer,2025,3.75,https://linkedin.com/in/student125,Austin
126,SLU00126,First126,Last126,Male,1985-12-19,student126@slu.edu,+1-314-555-0126,Iran,F1,0,DA,MS Data Analytics,2020,Fall,Fall,2020,3.76,https://linkedin.com/in/student126,Atlanta
127,SLU00127,First127,Last127,Male,1985-12-18,student127@slu.edu,+1-314-555-0127,Turkey,GreenCard,1,ST,MS Statistics,2021,Spring,Spring,2021,3.77,https://linkedin.com/in/student127,San Jose
128,SLU00128,First128,Last128,Male,1985-12-17,student128@slu.edu,+1-314-555-0128,Kenya,Citizen,0,CS,MS Computer Science,2022,Summer,Summer,2022,3.78,https://linkedin.com/in/student128,Boston
129,SLU00129,First129,Last129,Male,1985-12-16,student129@slu.edu,+1-314-555-0129,Mexico,F1,1,IS,MS Information Systems,2023,Fall,Fall,2023,3.79,https://linkedin.com/in/student129,Phoenix
130,SLU00130,First130,Last130,Male,1985-12-15,student130@slu.edu,+1-314-555-0130,India,GreenCard,0,AI,MS Artificial Intelligence,2024,Spring,Spring,2024,3.80,https://linkedin.com/in/student130,St. Louis
131,SLU00131,First131,Last131,Male,1985-12-14,student131@slu.edu,+1-314-555-0131,USA,Citizen,1,ML,MS Machine Learning,2025,Summer,Summer,2025,3.81,https://linkedin.com/in/student131,Chicago
132,SLU00132,First132,Last132,Male,1985-12-13,student132@slu.edu,+1-314-555-0132,China,F1,0,CYS,MS Cyber Security,2020,Fall,Fall,2020,3.82,https://linkedin.com/in/student132,Dallas
