contact_key,contact_employee_id,employer_key,first_name,last_name,title,email,phone,linkedin_url,department,role_type,is_alumni_flag,alumni_student_key,relationship_start_date,relationship_status,preferred_contact_method,notes,created_at,updated_at,source
50,E50-C50,50,ContactFirst50,ContactLast50,"Talent Partner",contact50@company50.com,+1-636-555-0050,https://linkedin.com/in/contact50,Engineering,Recruiter,0,50,2020-02-20,DoNotContact,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
51,E51-C51,51,ContactFirst51,ContactLast51,"Engineering Manager",contact51@company51.com,+1-636-555-0051,https://linkedin.com/in/contact51,Data,HiringManager,1,51,2020-02-21,Active,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
52,E52-C52,52,ContactFirst52,ContactLast52,"Data Manager",contact52@company52.com,+1-636-555-0052,https://linkedin.com/in/contact52,IT,Alumni,0,52,2020-02-22,Dormant,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
53,E53-C53,53,ContactFirst53,ContactLast53,"Director HR",contact53@company53.com,+1-636-555-0053,https://linkedin.com/in/contact53,Operations,HR,1,53,2020-02-23,DoNotContact,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
54,E54-C54,54,ContactFirst54,ContactLast54,Recruiter,contact54@company54.com,+1-636-555-0054,https://linkedin.com/in/contact54,HR,Other,0,54,2020-02-24,Active,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
55,E55-C55,55,ContactFirst55,ContactLast55,"Sr Recruiter",contact55@company55.com,+1-636-555-0055,https://linkedin.com/in/contact55,TA,Recruiter,1,55,2020-02-25,Dormant,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
56,E56-C56,56,ContactFirst56,ContactLast56,"Talent Partner",contact56@company56.com,+1-636-555-0056,https://linkedin.com/in/contact56,Engineering,HiringManager,0,56,2020-02-26,DoNotContact,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
57,E57-C57,57,ContactFirst57,ContactLast57,"Engineering Manager",contact57@company57.com,+1-636-555-0057,https://linkedin.com/in/contact57,Data,Alumni,1,57,2020-02-27,Active,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
58,E58-C58,58,ContactFirst58,ContactLast58,"Data Manager",contact58@company58.com,+1-636-555-0058,https://linkedin.com/in/contact58,IT,HR,0,58,2020-02-28,Dormant,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
59,E59-C59,59,ContactFirst59,ContactLast59,"Director HR",contact59@company59.com,+1-636-555-0059,https://linkedin.com/in/contact59,Operations,Other,1,59,2020-02-29,DoNotContact,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
60,E60-C60,60,ContactFirst60,ContactLast60,Recruiter,contact60@company60.com,+1-636-555-0060,https://linkedin.com/in/contact60,HR,Recruiter,0,60,2020-03-01,Active,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
61,E61-C61,61,ContactFirst61,ContactLast61,"Sr Recruiter",contact61@company61.com,+1-636-555-0061,https://linkedin.com/in/contact61,TA,HiringManager,1,61,2020-03-02,Dormant,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
62,E62-C62,62,ContactFirst62,ContactLast62,"Talent Partner",contact62@company62.com,+1-636-555-0062,https://linkedin.com/in/contact62,Engineering,Alumni,0,62,2020-03-03,DoNotContact,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
63,E63-C63,63,ContactFirst63,ContactLast63,"Engineering Manager",contact63@company63.com,+1-636-555-0063,https://linkedin.com/in/contact63,Data,HR,1,63,2020-03-04,Active,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
64,E64-C64,64,ContactFirst64,ContactLast64,"Data Manager",contact64@company64.com,+1-636-555-0064,https://linkedin.com/in/contact64,IT,Other,0,64,2020-03-05,Dormant,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
65,E65-C65,65,ContactFirst65,ContactLast65,"Director HR",contact65@company65.com,+1-636-555-0065,https://linkedin.com/in/contact65,Operations,Recruiter,1,65,2020-03-06,DoNotContact,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
66,E66-C66,66,ContactFirst66,ContactLast66,Recruiter,contact66@company66.com,+1-636-555-0066,https://linkedin.com/in/contact66,HR,HiringManager,0,66,2020-03-07,Active,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
67,E67-C67,67,ContactFirst67,ContactLast67,"Sr Recruiter",contact67@company67.com,+1-636-555-0067,https://linkedin.com/in/contact67,TA,Alumni,1,67,2020-03-08,Dormant,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
68,E68-C68,68,ContactFirst68,ContactLast68,"Talent Partner",contact68@company68.com,+1-636-555-0068,https://linkedin.com/in/contact68,Engineering,HR,0,68,2020-03-09,DoNotContact,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
69,E69-C69,69,ContactFirst69,ContactLast69,"Engineering Manager",contact69@company69.com,+1-636-555-0069,https://linkedin.com/in/contact69,Data,Other,1,69,2020-03-10,Active,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
70,E70-C70,70,ContactFirst70,ContactLast70,"Data Manager",contact70@company70.com,+1-636-555-0070,https://linkedin.com/in/contact70,IT,Recruiter,0,70,2020-03-11,Dormant,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
71,E71-C71,71,ContactFirst71,ContactLast71,"Director HR",contact71@company71.com,+1-636-555-0071,https://linkedin.com/in/contact71,Operations,HiringManager,1,71,2020-03-12,DoNotContact,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
72,E72-C72,72,ContactFirst72,ContactLast72,Recruiter,contact72@company72.com,+1-636-555-0072,https://linkedin.com/in/contact72,HR,Alumni,0,72,2020-03-13,Active,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
73,E73-C73,73,ContactFirst73,ContactLast73,"Sr Recruiter",contact73@company73.com,+1-636-555-0073,https://linkedin.com/in/contact73,TA,HR,1,73,2020-03-14,Dormant,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
74,E74-C74,74,ContactFirst74,ContactLast74,"Talent Partner",contact74@company74.com,+1-636-555-0074,https://linkedin.com/in/contact74,Engineering,Other,0,74,2020-03-15,DoNotContact,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
75,E75-C75,75,ContactFirst75,ContactLast75,"Engineering Manager",contact75@company75.com,+1-636-555-0075,https://linkedin.com/in/contact75,Data,Recruiter,1,75,2020-03-16,Active,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
76,E76-C76,76,ContactFirst76,ContactLast76,"Data Manager",contact76@company76.com,+1-636-555-0076,https://linkedin.com/in/contact76,IT,HiringManager,0,76,2020-03-17,Dormant,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
77,E77-C77,77,ContactFirst77,ContactLast77,"Director HR",contact77@company77.com,+1-636-555-0077,https://linkedin.com/in/contact77,Operations,Alumni,1,77,2020-03-18,DoNotContact,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
78,E78-C78,78,ContactFirst78,ContactLast78,Recruiter,contact78@company78.com,+1-636-555-0078,https://linkedin.com/in/contact78,HR,HR,0,78,2020-03-19,Active,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
79,E79-C79,79,ContactFirst79,ContactLast79,"Sr Recruiter",contact79@company79.com,+1-636-555-0079,https://linkedin.com/in/contact79,TA,Other,1,79,2020-03-20,Dormant,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
80,E80-C80,80,ContactFirst80,ContactLast80,"Talent Partner",contact80@company80.com,+1-636-555-0080,https://linkedin.com/in/contact80,Engineering,Recruiter,0,80,2020-03-21,DoNotContact,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
81,E81-C81,81,ContactFirst81,ContactLast81,"Engineering Manager",contact81@company81.com,+1-636-555-0081,https://linkedin.com/in/contact81,Data,HiringManager,1,81,2020-03-22,Active,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
82,E82-C82,82,ContactFirst82,ContactLast82,"Data Manager",contact82@company82.com,+1-636-555-0082,https://linkedin.com/in/contact82,IT,Alumni,0,82,2020-03-23,Dormant,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
83,E83-C83,83,ContactFirst83,ContactLast83,"Director HR",contact83@company83.com,+1-636-555-0083,https://linkedin.com/in/contact83,Operations,HR,1,83,2020-03-24,DoNotContact,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
84,E84-C84,84,ContactFirst84,ContactLast84,Recruiter,contact84@company84.com,+1-636-555-0084,https://linkedin.com/in/contact84,HR,Other,0,84,2020-03-25,Active,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
85,E85-C85,85,ContactFirst85,ContactLast85,"Sr Recruiter",contact85@company85.com,+1-636-555-0085,https://linkedin.com/in/contact85,TA,Recruiter,1,85,2020-03-26,Dormant,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
86,E86-C86,86,ContactFirst86,ContactLast86,"Talent Partner",contact86@company86.com,+1-636-555-0086,https://linkedin.com/in/contact86,Engineering,HiringManager,0,86,2020-03-27,DoNotContact,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
87,E87-C87,87,ContactFirst87,ContactLast87,"Engineering Manager",contact87@company87.com,+1-636-555-0087,https://linkedin.com/in/contact87,Data,Alumni,1,87,2020-03-28,Active,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
88,E88-C88,88,ContactFirst88,ContactLast88,"Data Manager",contact88@company88.com,+1-636-555-0088,https://linkedin.com/in/contact88,IT,HR,0,88,2020-03-29,Dormant,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
89,E89-C89,89,ContactFirst89,ContactLast89,"Director HR",contact89@company89.com,+1-636-555-0089,https://linkedin.com/in/contact89,Operations,Other,1,89,2020-03-30,DoNotContact,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
90,E90-C90,90,ContactFirst90,ContactLast90,Recruiter,contact90@company90.com,+1-636-555-0090,https://linkedin.com/in/contact90,HR,Recruiter,0,90,2020-03-31,Active,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
91,E91-C91,91,ContactFirst91,ContactLast91,"Sr Recruiter",contact91@company91.com,+1-636-555-0091,https://linkedin.com/in/contact91,TA,HiringManager,1,91,2020-04-01,Dormant,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
92,E92-C92,92,ContactFirst92,ContactLast92,"Talent Partner",contact92@company92.com,+1-636-555-0092,https://linkedin.com/in/contact92,Engineering,Alumni,0,92,2020-04-02,DoNotContact,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
93,E93-C93,93,ContactFirst93,ContactLast93,"Engineering Manager",contact93@company93.com,+1-636-555-0093,https://linkedin.com/in/contact93,Data,HR,1,93,2020-04-03,Active,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
94,E94-C94,94,ContactFirst94,ContactLast94,"Data Manager",contact94@company94.com,+1-636-555-0094,https://linkedin.com/in/contact94,IT,Other,0,94,2020-04-04,Dormant,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
95,E95-C95,95,ContactFirst95,ContactLast95,"Director HR",contact95@company95.com,+1-636-555-0095,https://linkedin.com/in/contact95,Operations,Recruiter,1,95,2020-04-05,DoNotContact,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
96,E96-C96,96,ContactFirst96,ContactLast96,Recruiter,contact96@company96.com,+1-636-555-0096,https://linkedin.com/in/contact96,HR,HiringManager,0,96,2020-04-06,Active,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
97,E97-C97,97,ContactFirst97,ContactLast97,"Sr Recruiter",contact97@company97.com,+1-636-555-0097,https://linkedin.com/in/contact97,TA,Alumni,1,97,2020-04-07,Dormant,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
98,E98-C98,98,ContactFirst98,ContactLast98,"Talent Partner",contact98@company98.com,+1-636-555-0098,https://linkedin.com/in/contact98,Engineering,HR,0,98,2020-04-08,DoNotContact,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
99,E99-C99,99,ContactFirst99,ContactLast99,"Engineering Manager",contact99@company99.com,+1-636-555-0099,https://linkedin.com/in/contact99,Data,Other,1,99,2020-04-09,Active,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
100,E100-C100,100,ContactFirst100,ContactLast100,"Data Manager",contact100@company100.com,+1-636-555-0100,https://linkedin.com/in/contact100,IT,Recruiter,0,100,2020-04-10,Dormant,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
101,E101-C101,101,ContactFirst101,ContactLast101,"Director HR",contact101@company101.com,+1-636-555-0101,https://linkedin.com/in/contact101,Operations,HiringManager,1,101,2020-04-11,DoNotContact,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
102,E102-C102,102,ContactFirst102,ContactLast102,Recruiter,contact102@company102.com,+1-636-555-0102,https://linkedin.com/in/contact102,HR,Alumni,0,102,2020-04-12,Active,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
103,E103-C103,103,ContactFirst103,ContactLast103,"Sr Recruiter",contact103@company103.com,+1-636-555-0103,https://linkedin.com/in/contact103,TA,HR,1,103,2020-04-13,Dormant,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
104,E104-C104,104,ContactFirst104,ContactLast104,"Talent Partner",contact104@company104.com,+1-636-555-0104,https://linkedin.com/in/contact104,Engineering,Other,0,104,2020-04-14,DoNotContact,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
105,E105-C105,105,ContactFirst105,ContactLast105,"Engineering Manager",contact105@company105.com,+1-636-555-0105,https://linkedin.com/in/contact105,Data,Recruiter,1,105,2020-04-15,Active,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
106,E106-C106,106,ContactFirst106,ContactLast106,"Data Manager",contact106@company106.com,+1-636-555-0106,https://linkedin.com/in/contact106,IT,HiringManager,0,106,2020-04-16,Dormant,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
